timestamp,open,high,low,close
1638921600,4307.713044514378,undefined,undefined,undefined
1638835200,4365.21171217759,4426.699381457525,4264.092418777249,4306.569876776087
1638748800,4205.791293910909,4370.109370166601,3935.5450559196047,4359.988384524842
1638748680,4196.014863587487,undefined,undefined,undefined
1638662400,4129.425183019701,4248.427532231827,4046.873065331133,4200.31444745153
1638662280,4120.740103537305,undefined,undefined,undefined
1638576000,4209.927107015021,4238.685999191829,3663.1674121091496,4122.088845587745
1638489600,4509.911634406562,4645.71374877688,4096.325304981674,4217.418199386664
1638489540,4512.666403717624,undefined,undefined,undefined
1638403200,4586.677824513637,4631.314088989622,4437.933743551919,4508.250752701175
1638316800,4611.465074124818,4782.02611231841,4530.91220148786,4587.173176103061
1638316740,4634.497518331279,undefined,undefined,undefined
1638230400,4447.239125933215,4741.948261155777,4353.2332439143365,4637.568454204769
1638144000,4309.572989283458,4460.413900565269,4285.608632553822,4445.843137798969
1638143940,4297.097003928493,undefined,undefined,undefined
1638057600,4090.091254095144,4299.458400232202,3988.935615863572,4292.326892914464
1638057540,4093.771236297388,undefined,undefined,undefined
1637971200,4043.396244048088,4184.770298709371,4032.7503960074832,4078.1914400098585
1637971140,4031.7905322511047,undefined,undefined,undefined
1637884800,4523.540108999792,4548.422381813113,3930.0028452515103,4034.2815422471404
1637884740,4518.3821273925705,undefined,undefined,undefined
1637798400,4272.973574072318,4550.155271718681,4249.62363665651,4519.89999194657
1637798340,4274.412433103418,undefined,undefined,undefined
1637712000,4342.941624261094,4359.478416758873,4172.413231958888,4275.436640372959
1637711940,4341.6643033745,undefined,undefined,undefined
1637625600,4083.6499999999996,4388.346586088647,4068.4800000000005,4341.506008117064
1637625540,4089.1599999999994,undefined,undefined,undefined
1637539200,4265.87,4310.34,4028.88,4090.54
1637452800,4416.39,4420.89,4250.65,4272.57
1637366400,4303.6,4438.9,4214.11,4413.05
1637280000,4009.87,4314.26,3980.11,4303.418771136362
1637279940,4002.608294039627,undefined,undefined,undefined
1637193600,4289.441601812334,4342.64285370836,3960.4699999999993,3995.32
1637193540,4289.4,undefined,undefined,undefined
1637107200,4222.67,4298.49,4077.24,4288.917428927527
1637107140,4212.474101543331,undefined,undefined,undefined
1637020800,4545.67,4545.67,4132.12,4216.14
1637020740,4559.226888007753,undefined,undefined,undefined
1636934400,4626.850572643559,4769.21,4544.4644597124325,4572.643546472941
