,Date,USD/USDT,USD/ETH,USDT/ETH,ETH/USDT,9_ema_USDT/ETH,12_ema_USDT/ETH,26_ema_USDT/ETH,9_ema_ETH/USDT,12_ema_ETH/USDT,26_ema_ETH/USDT,rsi_ETH/USDT,rsi_USDT/ETH
94,2021-04-05,1.003438,2078.46,0.0004827795579419378,2071.3387374207473,0.0005200333880486397,0.000529999938120626,0.0005548712900248966,1936.6789319334475,1902.1561529973628,1820.9866299053615,65.06731099277542,65.06731099277542
95,2021-04-06,1.000106,2115.97,0.0004726465876170267,2115.745730952519,0.0005105560279623171,0.0005211763457354568,0.0005487805713280175,1972.492291737262,1935.0160880673868,1842.8206373903363,66.81363843358292,66.81363843358292
96,2021-04-07,1.001607,2113.0,0.00047402129673450067,2109.6098569598657,0.0005032490817167539,0.0005139217228122328,0.0005432428472840532,1999.9158047817828,1961.876667896999,1862.5828018028942,66.32029443354092,66.32029443354092
97,2021-04-08,1.001883,1967.5,0.0005092162642947904,1963.8021605317185,0.0005044425182323612,0.0005131978061172416,0.0005407223596552189,1992.6930759317702,1962.1728975331098,1870.0805320791032,55.78001642602522,55.78001642602522
98,2021-04-09,1.00066,2079.0553381705013,0.0004813051300888158,2077.6840666864878,0.0004998150406036522,0.0005082912405744069,0.0005363210833910409,2009.6912740827138,1979.9438466336296,1885.4585716796503,60.9942789528638,60.9942789528638
99,2021-04-10,1.001109,2066.74,0.00048439039259897234,2064.4505243684753,0.0004967301110027163,0.0005046141870397247,0.0005324743655545914,2020.6431241398661,1992.944873977452,1898.7172348417855,60.107311496491846,60.107311496491846
100,2021-04-11,1.000524,2132.08,0.0004692713219016172,2130.9633751914,0.0004912383531824964,0.0004991768231723235,0.000527792658617334,2042.7071743501729,2014.1784895488286,1915.9206526454607,63.01817013838307,63.01817013838307
101,2021-04-12,1.002161,2150.54,0.0004660043523952124,2145.9027042561024,0.0004861915530250397,0.0004940733661296911,0.000523215747045325,2063.3462803313587,2034.4437533499477,1932.956360172175,63.65956887359345,63.65956887359345
102,2021-04-13,1.000019,2138.345296465069,0.00046766020513765784,2138.304668676364,0.0004824852834475634,0.0004900098029001475,0.0005191005217188311,2078.33795800036,2050.4223557078576,1948.1673459873,63.060533790010645,63.060533790010645
103,2021-04-14,0.999235,2301.245808351661,0.00043421480503020806,2303.007609172678,0.00047283118776409236,0.000481425957074003,0.0005128126908530071,2123.2718882348236,2089.281625471676,1974.4518099269576,69.71358853253149,69.71358853253149
104,2021-04-15,1.001496,2431.9955430449586,0.0004118000967822851,2428.3627124271675,0.000460624969567731,0.0004707142862598926,0.0005053302764773981,2184.2900530732923,2141.447946541751,2008.074839741788,73.60945599440399,73.60945599440399
105,2021-04-16,1.001086,2516.645382364011,0.0003977858807662563,2513.915270380378,0.0004480571518074361,0.000459494531568564,0.0004973640249432395,2250.2150965347096,2198.7506117476937,2045.5445012705727,75.88899645841427,75.88899645841427
106,2021-04-17,1.002434,2421.891770182209,0.0004139053661859476,2416.0111989240277,0.00044122679468313843,0.0004524808138173922,0.0004911819020723289,2283.374317012573,2232.17531746713,2072.9864788745326,68.58773560012843,68.58773560012843
107,2021-04-18,1.011404,2326.18,0.00043479180458949867,2299.951354750426,0.00043993979666441047,0.0004497594277823317,0.00048700485781434145,2286.689724560144,2242.6024001260985,2089.7986919023765,61.08500145875194,61.08500145875194
108,2021-04-19,0.999953,2250.23,0.0004443781302355759,2250.3357657809916,0.0004408274633786436,0.0004489315358520616,0.0004838473224381366,2279.4189328043135,2243.7921486883897,2101.690327004496,58.156199787537524,58.156199787537524
109,2021-04-20,0.999936,2170.81,0.0004606280604935485,2170.9489407322067,0.0004447875828016246,0.0004507310011815211,0.00048212737710890785,2257.7249343898925,2232.5855013105156,2106.82059468803,53.71815737803869,53.71815737803869
110,2021-04-21,1.000092,2343.28,0.00042679150592332113,2343.0644380716976,0.0004411883674259639,0.00044704800191102876,0.00047802842368775326,2274.7928351262535,2249.5822608122357,2124.3201386423757,60.717411365179096,60.717411365179096
111,2021-04-22,0.999944,2370.46,0.00042183542434801686,2370.592753194179,0.00043731777881037454,0.00044316914382441157,0.0004738659792922172,2293.9528187398387,2268.199259640227,2142.5625545351018,61.71469246951946,61.71469246951946
112,2021-04-23,0.999946,2414.92,0.0004140700313053848,2415.050412722287,0.0004326682293093766,0.0004386923572830228,0.0004694366498117111,2318.1723375363285,2290.7917447297746,2162.7468403267453,63.333654864943156,63.333654864943156
113,2021-04-24,1.000138,2357.94,0.00042415752733318063,2357.6146491784134,0.0004309660889141374,0.0004364562295984317,0.0004660826407392274,2326.0607998647456,2301.0721915680265,2177.181492834276,59.8145519947773,59.8145519947773
114,2021-04-25,1.000136,2231.0,0.0004482904527117884,2230.696625258965,0.00043443096167366765,0.00043827687930817887,0.00046476470088534303,2306.9879649435898,2290.2451813666326,2181.145576717586,52.829075892738445,52.829075892738445
